Dataset,Experiment_Type,Condition,Accuracy,Precision,Recall,F1_Score,Training_Time(s),Test_Time(s)
CTU,Activation,ELU,0.9388493475682088,0.9409353574876045,0.9388493475682088,0.9394368046510794,87.37989830970764,0.10376858711242676
CTU,Activation,RELU,0.9141755634638197,0.9137524257077787,0.9141755634638197,0.9133084528352607,944.9662220478058,0.20417165756225586
CTU,Activation,SIGMOID,0.8082443653618031,0.7975527681562311,0.8082443653618031,0.8003668515841693,265.10726714134216,0.36480045318603516
USTC,Activation,ELU,0.935762397721622,0.9411944412301185,0.935762397721622,0.9352393559003707,128.7258415222168,0.13648319244384766
USTC,Activation,SIGMOID,0.830025767370372,0.8276671386911092,0.830025767370372,0.8285730449500094,3092.8474016189575,0.45994997024536133
