Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,PCA,0.9256129250932098,0.9282582607507616,0.9256129250932098,0.9244174054732703,5.572577953338623,0.12539100646972656,2.833374906106125e-06
USTC,KPCA,0.9287538131284601,0.9342380346545469,0.9287538131284601,0.929487721224649,11.534629344940186,0.23009800910949707,5.199367508970672e-06
CTU,PCA,0.9139070884349708,0.9125601195989381,0.9139070884349708,0.9110540486246235,19.4209041595459,0.30044031143188477,8.90694943618288e-06
CTU,KPCA,0.9102309448281996,0.909463914637235,0.9102309448281996,0.9078311292271012,21.03144073486328,0.2952847480773926,8.754105958239974e-06
