Dataset,Experiment_Type,Condition,Accuracy,Precision,Recall,F1_Score,Training_Time(s),Test_Time(s)
CTU,Activation,RELU,0.9138790035587189,0.9134691484333045,0.9138790035587189,0.9130412808357419,1583.320550441742,0.3017709255218506
CTU,Activation,SIGMOID,0.8082443653618031,0.7975527681562311,0.8082443653618031,0.8003668515841693,266.83113145828247,0.3632667064666748
USTC,Activation,RELU,0.9188101803715926,0.9205011030029738,0.9188101803715926,0.918198524681492,1711.9725277423859,0.35001230239868164
USTC,Activation,SIGMOID,0.8293928845893043,0.8253867235266483,0.8293928845893043,0.8267341914069398,3165.012361764908,0.4820556640625
