Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,PCA,0.8886930585683297,0.8894789067237695,0.8886930585683297,0.8875364334067665,2.3504648208618164,0.003986358642578125,1.8014997480920667e-07
USTC,KPCA,0.8839027476500362,0.884152817792319,0.8839027476500362,0.8828005484143558,2.1019372940063477,0.003236532211303711,1.4626410933223567e-07
CTU,PCA,0.8525435787975809,0.861405945055742,0.8525435787975809,0.8562705472284708,2.71797513961792,0.0049893856048583984,2.9582506847257194e-07
CTU,KPCA,0.8614965018380173,0.8685574773211054,0.8614965018380173,0.8643911645564006,3.2575480937957764,0.0035653114318847656,2.113904560586248e-07
