Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,CAE,0.8611726413814927,0.8647440057217525,0.8611726413814927,0.8624665479332791,163.88808941841125,0.012763261795043945,5.769749014530964e-07
USTC,ADCAE,0.8854482166267348,0.8876490796313709,0.8854482166267348,0.8862844948661219,10.39529800415039,0.011405229568481445,5.155838148583448e-07
CTU,CAE,0.8915776986951364,0.8921288301768517,0.8915776986951364,0.89177241682052,85.12836718559265,0.007632255554199219,4.5268419657172117e-07
CTU,ADCAE,0.8900355871886121,0.8897127943468934,0.8900355871886121,0.8898248432926726,84.99965476989746,0.008681297302246094,5.149049408212393e-07
