Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,CAE,0.8888286334056399,0.8999121068249847,0.8888286334056399,0.8919438645680082,5.287725210189819,0.006577730178833008,2.9725823295521546e-07
USTC,ADCAE,0.8737398851769812,0.8924273963145916,0.8737398851769812,0.8780847425112536,9.362399578094482,0.008490562438964844,3.8382362637154034e-07
CTU,CAE,0.8186291948298352,0.8312666623393917,0.8186291948298352,0.8238393077999999,3.7958250045776367,0.005181789398193359,3.0723285889916753e-07
CTU,ADCAE,0.8685646500593119,0.8678016443579543,0.8685646500593119,0.8681339289890297,7.974643707275391,0.008065938949584961,4.784068178876015e-07
