Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,CAE,0.8539849012250802,0.8594323092490651,0.8539849012250802,0.8559774965311906,11.577008962631226,0.013076543807983398,5.911371008536412e-07
USTC,ADCAE,0.8900140138330094,0.8937688019307996,0.8900140138330094,0.8913180893788312,11.614578485488892,0.011187314987182617,5.057327872692291e-07
CTU,CAE,0.8915183867141162,0.8914028717687403,0.8915183867141162,0.8914026775355736,87.14801383018494,0.00757288932800293,4.4916306809032796e-07
CTU,ADCAE,0.8685646500593119,0.8678016443579543,0.8685646500593119,0.8681339289890297,7.962820053100586,0.007998943328857422,4.7443317490257546e-07
