Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,CAE,0.9018127571086298,0.901768259587351,0.9018127571086298,0.9017593129606184,51.551973819732666,0.004921913146972656,2.2249957718786022e-07
USTC,ADCAE,0.9036209936259663,0.9037014302311926,0.9036209936259663,0.9036487696478868,114.68804478645325,0.008041620254516602,3.6352878506923744e-07
CTU,CAE,0.870344009489917,0.8850788496980786,0.870344009489917,0.8757981974347284,38.43134379386902,0.004015445709228516,2.3816403969326902e-07
CTU,ADCAE,0.8852313167259787,0.8846514796281184,0.8852313167259787,0.8848967554998122,94.0564272403717,0.006173133850097656,3.6614079775193693e-07
