Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,CAE,0.8595000226029564,0.8676336103149858,0.8595000226029564,0.8618280929134183,9.984246253967285,0.01071786880493164,4.84511044027469e-07
USTC,ADCAE,0.8737398851769812,0.8924273963145916,0.8737398851769812,0.8780847425112536,9.167929887771606,0.008014678955078125,3.623108790325087e-07
CTU,CAE,0.8915183867141162,0.8914028717687403,0.8915183867141162,0.8914026775355736,84.73671340942383,0.0078887939453125,4.6789999675637606e-07
CTU,ADCAE,0.8685646500593119,0.8678016443579543,0.8685646500593119,0.8681339289890297,7.9200780391693115,0.0075342655181884766,4.468722134156866e-07
