Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,PCA,0.8947487346348517,0.8970222362133597,0.8947487346348517,0.893406440860514,2.2681291103363037,0.004269599914550781,1.9295010459828187e-07
USTC,KPCA,0.9076283441793204,0.9073816973237215,0.9076283441793204,0.9070155213082091,3.0962793827056885,0.005132436752319336,2.3194309256685358e-07
CTU,PCA,0.8191035218783351,0.817425444903232,0.8191035218783351,0.8169225615728217,1.8102927207946777,0.00254058837890625,1.5063372340248134e-07
CTU,KPCA,0.8575833036878928,0.8597072191127411,0.8575833036878928,0.8576386567160833,2.388753652572632,0.002694368362426758,1.597514741151878e-07
