Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,CAE,0.8888286334056399,0.8999121068249847,0.8888286334056399,0.8919438645680082,4.790829420089722,0.005572319030761719,2.5182208201200825e-07
USTC,ADCAE,0.8737398851769812,0.8924273963145916,0.8737398851769812,0.8780847425112536,9.398799896240234,0.008866548538208008,4.008204212380999e-07
CTU,CAE,0.8062374006877743,0.8308724730643814,0.8062374006877743,0.8158432143854601,3.727668523788452,0.0061187744140625,3.6278752603240246e-07
CTU,ADCAE,0.8575919335705813,0.8665101738985566,0.8575919335705813,0.8611892383584899,7.64293909072876,0.00784444808959961,4.6526975620401005e-07
