Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,PCA,0.8660068691250904,0.8690061001810436,0.8660068691250904,0.8641766972514158,2.0225422382354736,0.004320621490478516,1.9525585188351932e-07
USTC,KPCA,0.8839027476500362,0.884152817792319,0.8839027476500362,0.8828005484143558,1.9088869094848633,0.003996372222900391,1.8060250465023458e-07
CTU,PCA,0.8412190205146448,0.8511195940006003,0.8412190205146448,0.845373804343271,2.603152275085449,0.004388093948364258,2.601739563835087e-07
CTU,KPCA,0.8614965018380173,0.8685574773211054,0.8614965018380173,0.8643911645564006,3.1343469619750977,0.005333423614501953,3.162233851833246e-07
