Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,PCA,0.8660068691250904,0.8690061001810436,0.8660068691250904,0.8641766972514158,2.0121796131134033,0.00458216667175293,2.070755003503674e-07
USTC,KPCA,0.8839027476500362,0.884152817792319,0.8839027476500362,0.8828005484143558,1.9797983169555664,0.004505157470703125,2.0359533038246227e-07
CTU,PCA,0.8513577611763311,0.8610347228038714,0.8513577611763311,0.8554093259252182,2.599730968475342,0.00399470329284668,2.3684947781612e-07
CTU,KPCA,0.8589469939523301,0.8692912659405114,0.8589469939523301,0.8629379850011093,3.0421926975250244,0.004106998443603516,2.4350755624353824e-07
