Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,PCA,0.8601319595083152,0.8612459644405176,0.8601319595083152,0.8568448133531417,1.9828062057495117,0.005092144012451172,2.3012219868271745e-07
USTC,KPCA,0.8839027476500362,0.884152817792319,0.8839027476500362,0.8828005484143558,1.9636201858520508,0.00574183464050293,2.5948276574940935e-07
CTU,PCA,0.8348156053598956,0.8626069735131499,0.8348156053598956,0.8444707867379785,2.4159672260284424,0.003537893295288086,2.0976481058271586e-07
CTU,KPCA,0.8471481086208941,0.8675454006243076,0.8471481086208941,0.8540753120141367,2.882505416870117,0.003997802734375,2.3703324643513578e-07
