Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,PCA,0.8860719450469993,0.8887742312832904,0.8860719450469993,0.8843927465751956,2.1626014709472656,0.004007577896118164,1.8110890709138487e-07
USTC,KPCA,0.8839027476500362,0.884152817792319,0.8839027476500362,0.8828005484143558,1.888573408126831,0.003987312316894531,1.8019307288930455e-07
CTU,PCA,0.8450136369026444,0.8619240755898221,0.8450136369026444,0.8517989186459806,2.5425562858581543,0.004265546798706055,2.529080279085767e-07
CTU,KPCA,0.8589469939523301,0.8692912659405114,0.8589469939523301,0.8629379850011093,2.989032506942749,0.004015922546386719,2.3810758605399733e-07
