Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,CAE,0.8611726413814927,0.8647440057217525,0.8611726413814927,0.8624665479332791,160.53929948806763,0.01371908187866211,6.201836209331454e-07
USTC,ADCAE,0.8854482166267348,0.8876490796313709,0.8854482166267348,0.8862844948661219,11.519626140594482,0.011640548706054688,5.262216313030463e-07
CTU,CAE,0.8915183867141162,0.8914028717687403,0.8915183867141162,0.8914026775355736,87.07211351394653,0.00665736198425293,3.948613276543849e-07
CTU,ADCAE,0.881791221826809,0.8811075448179951,0.881791221826809,0.8813955817456708,105.1187744140625,0.008676767349243164,5.146362603347072e-07
