Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,PCA,0.8601319595083152,0.8612459644405176,0.8601319595083152,0.8568448133531417,1.9745960235595703,0.004044771194458008,1.8278973221520282e-07
USTC,KPCA,0.8839027476500362,0.884152817792319,0.8839027476500362,0.8828005484143558,2.136484384536743,0.004312753677368164,1.9490029272271168e-07
CTU,PCA,0.8359421321000831,0.8573578581684198,0.8359421321000831,0.8441631695286508,2.5725700855255127,0.00475311279296875,2.8181624528452213e-07
CTU,KPCA,0.8582355033795802,0.8714905190016855,0.8582355033795802,0.862995194783914,3.032341241836548,0.004007101058959961,2.3758455229218315e-07
