Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,ADCAE,0.8943989873875503,0.8940071857431833,0.8943989873875503,0.894175228650743,11.771786451339722,0.010440587997436523,4.719763119857386e-07
CTU,CAE,0.8915776986951364,0.8921288301768517,0.8915776986951364,0.89177241682052,83.018550157547,0.007997989654541016,4.7437661058962136e-07
CTU,ADCAE,0.8900355871886121,0.8897127943468934,0.8900355871886121,0.8898248432926726,83.98704767227173,0.00818324089050293,4.853642283809567e-07
