Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,PCA,0.8997198120028923,0.9004273275395087,0.8997198120028923,0.8986536154779519,2.5628552436828613,0.003988981246948242,1.8026849452947588e-07
USTC,KPCA,0.891675704989154,0.8939725808118393,0.891675704989154,0.8907524342456514,2.6648926734924316,0.004013538360595703,1.813782700919967e-07
CTU,PCA,0.8269892090596467,0.8604444882283969,0.8269892090596467,0.8386696144688451,2.3565125465393066,0.0033850669860839844,2.0070360406047578e-07
CTU,KPCA,0.8132337246531484,0.8629263198598601,0.8132337246531484,0.8286466398364039,2.7465131282806396,0.003414630889892578,2.0245647396493408e-07
