Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,PCA,0.8814172089660159,0.8978336481876927,0.8814172089660159,0.8857824701315817,3.0515599250793457,0.00500178337097168,2.260386555934418e-07
USTC,KPCA,0.8835412147505423,0.9048707433612619,0.8835412147505423,0.8883725188298303,3.2954421043395996,0.00400543212890625,1.8101193641116458e-07
CTU,PCA,0.8269892090596467,0.8604444882283969,0.8269892090596467,0.8386696144688451,2.2994766235351562,0.0030088424682617188,1.783969209214822e-07
CTU,KPCA,0.8132337246531484,0.8629263198598601,0.8132337246531484,0.8286466398364039,2.7511634826660156,0.0032644271850585938,1.9355076396647655e-07
