Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,CAE,0.8539849012250802,0.8594323092490651,0.8539849012250802,0.8559774965311906,12.556880712509155,0.011562824249267578,5.227080262767316e-07
USTC,ADCAE,0.8900140138330094,0.8937688019307996,0.8900140138330094,0.8913180893788312,12.308052778244019,0.009556055068969727,4.319901934347329e-07
CTU,CAE,0.8915183867141162,0.8914028717687403,0.8915183867141162,0.8914026775355736,85.79015159606934,0.006728649139404297,3.9908951004770445e-07
CTU,ADCAE,0.8795966785290629,0.8787763935341956,0.8795966785290629,0.879160012502493,95.2380473613739,0.007609844207763672,4.513549352172996e-07
