Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,CAE,0.8888286334056399,0.8999121068249847,0.8888286334056399,0.8919438645680082,4.987787485122681,0.005957365036010742,2.692229318515339e-07
USTC,ADCAE,0.8737398851769812,0.8924273963145916,0.8737398851769812,0.8780847425112536,9.27809739112854,0.00867772102355957,3.922843010514701e-07
CTU,CAE,0.8332147515712084,0.8324461540394799,0.8332147515712084,0.8327023610556918,28.54223346710205,0.0049631595611572266,2.9427010323474603e-07
CTU,ADCAE,0.8685646500593119,0.8678016443579543,0.8685646500593119,0.8681339289890297,8.123475313186646,0.009244680404663086,5.483203086988782e-07
