Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,CAE,0.8647891144161657,0.8645492454407053,0.8647891144161657,0.8646252652332954,137.76415181159973,0.013098001480102539,5.921071145112129e-07
USTC,ADCAE,0.9036209936259663,0.9037014302311926,0.9036209936259663,0.9036487696478868,122.68108463287354,0.011554956436157227,5.223523546022886e-07
CTU,CAE,0.8899169632265718,0.8913360887322502,0.8899169632265718,0.8905386493358299,89.44500637054443,0.0070836544036865234,4.201455755448709e-07
CTU,ADCAE,0.8900355871886121,0.8897127943468934,0.8900355871886121,0.8898248432926726,87.361563205719,0.010019540786743164,5.942788129740904e-07
