Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,PCA,0.8719269703543022,0.879418661986893,0.8719269703543022,0.8709011993018008,2.24336314201355,0.004736900329589844,2.1406816384625107e-07
USTC,KPCA,0.8839027476500362,0.884152817792319,0.8839027476500362,0.8828005484143558,2.2125184535980225,0.003996610641479492,1.8061327917025906e-07
CTU,PCA,0.8525435787975809,0.861405945055742,0.8525435787975809,0.8562705472284708,2.746816396713257,0.0035173892974853516,2.0854911048768835e-07
CTU,KPCA,0.8614965018380173,0.8685574773211054,0.8614965018380173,0.8643911645564006,3.3150429725646973,0.004575252532958984,2.712707537625391e-07
