Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,PCA,0.8601319595083152,0.8612459644405176,0.8601319595083152,0.8568448133531417,1.9555878639221191,0.0030155181884765625,1.3627612926954818e-07
USTC,KPCA,0.8839027476500362,0.884152817792319,0.8839027476500362,0.8828005484143558,1.9726545810699463,0.003967761993408203,1.7930956224729768e-07
CTU,PCA,0.8390252579153327,0.857540472422481,0.8390252579153327,0.846259022392592,2.626429319381714,0.0040781497955322266,2.417970944819297e-07
CTU,KPCA,0.8589469939523301,0.8692912659405114,0.8589469939523301,0.8629379850011093,3.026865243911743,0.004957675933837891,2.9394497413956423e-07
