Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,PCA,0.8889642082429501,0.8897366937251554,0.8889642082429501,0.8873083204796764,2.3669040203094482,0.004103422164916992,1.8544026414122342e-07
USTC,KPCA,0.8839027476500362,0.884152817792319,0.8839027476500362,0.8828005484143558,2.1704037189483643,0.0029921531677246094,1.3522022630714973e-07
CTU,PCA,0.8525435787975809,0.861405945055742,0.8525435787975809,0.8562705472284708,2.7264513969421387,0.005985260009765625,3.548713393671069e-07
CTU,KPCA,0.8614965018380173,0.8685574773211054,0.8614965018380173,0.8643911645564006,3.330862522125244,0.0055162906646728516,3.270657337052562e-07
