Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,CAE,0.9018127571086298,0.901768259587351,0.9018127571086298,0.9017593129606184,54.904539823532104,0.008593559265136719,3.8847969192788387e-07
USTC,ADCAE,0.9036209936259663,0.9037014302311926,0.9036209936259663,0.9036487696478868,129.05632138252258,0.01058506965637207,4.785077372800538e-07
CTU,CAE,0.870344009489917,0.8850788496980786,0.870344009489917,0.8757981974347284,38.39080023765564,0.00418543815612793,2.4824662847733865e-07
CTU,ADCAE,0.8852313167259787,0.8846514796281184,0.8852313167259787,0.8848967554998122,98.1052713394165,0.009766101837158203,5.792468468065364e-07
