Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,CAE,0.8647891144161657,0.8645492454407053,0.8647891144161657,0.8646252652332954,136.5256474018097,0.011906623840332031,5.382498006569338e-07
USTC,ADCAE,0.8958003706884861,0.8954937174461634,0.8958003706884861,0.8956175116699214,12.044097423553467,0.011420726776123047,5.16284380277702e-07
CTU,CAE,0.8899169632265718,0.8913360887322502,0.8899169632265718,0.8905386493358299,85.40438747406006,0.006907939910888672,4.097236008830766e-07
CTU,ADCAE,0.8900355871886121,0.8897127943468934,0.8900355871886121,0.8898248432926726,84.66053485870361,0.007752895355224609,4.5983958216041574e-07
