Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,CAE,0.8647891144161657,0.8645492454407053,0.8647891144161657,0.8646252652332954,135.6216299533844,0.012006282806396484,5.427549751998773e-07
USTC,ADCAE,0.8958003706884861,0.8954937174461634,0.8958003706884861,0.8956175116699214,11.75412368774414,0.010582923889160156,4.784107359142966e-07
CTU,CAE,0.8915776986951364,0.8921288301768517,0.8915776986951364,0.89177241682052,83.19562768936157,0.00663304328918457,3.9341893767405515e-07
CTU,ADCAE,0.8900355871886121,0.8897127943468934,0.8900355871886121,0.8898248432926726,85.10419368743896,0.00866556167602539,5.139716296574965e-07
