Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,PCA,0.8660068691250904,0.8690061001810436,0.8660068691250904,0.8641766972514158,2.3113009929656982,0.004677772521972656,2.113960828801815e-07
USTC,KPCA,0.8839027476500362,0.884152817792319,0.8839027476500362,0.8828005484143558,2.1751339435577393,0.00410151481628418,1.8535406798102764e-07
CTU,PCA,0.8525435787975809,0.861405945055742,0.8525435787975809,0.8562705472284708,3.161499500274658,0.004874229431152344,2.8899735747375453e-07
CTU,KPCA,0.8614965018380173,0.8685574773211054,0.8614965018380173,0.8643911645564006,3.594667434692383,0.004628181457519531,2.7440895633342415e-07
