Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,PCA,0.8660068691250904,0.8690061001810436,0.8660068691250904,0.8641766972514158,2.204904317855835,0.0036253929138183594,1.638373514921529e-07
USTC,KPCA,0.8839027476500362,0.884152817792319,0.8839027476500362,0.8828005484143558,2.21855092048645,0.0035855770111083984,1.6203800664806574e-07
CTU,PCA,0.8525435787975809,0.861405945055742,0.8525435787975809,0.8562705472284708,2.727158308029175,0.0055043697357177734,3.263589313244263e-07
CTU,KPCA,0.8614965018380173,0.8685574773211054,0.8614965018380173,0.8643911645564006,3.3208444118499756,0.004663228988647461,2.764869553330642e-07
