Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,CAE,0.8682699697120383,0.8683738886133539,0.8682699697120383,0.8683166111807138,163.81288528442383,0.014478206634521484,6.545005485521217e-07
USTC,ADCAE,0.9036209936259663,0.9037014302311926,0.9036209936259663,0.9036487696478868,124.53642868995667,0.009560823440551758,4.3220575202530434e-07
CTU,CAE,0.8899169632265718,0.8913360887322502,0.8899169632265718,0.8905386493358299,85.47814655303955,0.007536888122558594,4.470277652763104e-07
CTU,ADCAE,0.8900355871886121,0.8897127943468934,0.8900355871886121,0.8898248432926726,90.8799798488617,0.009113550186157227,5.405427156676884e-07
