Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,CAE,0.8178653767912843,0.8411571189932426,0.8178653767912843,0.8252333658543217,5.715508937835693,0.00797581672668457,3.605540765193513e-07
USTC,ADCAE,0.894579811039284,0.8940844786680697,0.894579811039284,0.8942852810281996,11.891332387924194,0.009187698364257812,4.153382923130877e-07
CTU,CAE,0.8915776986951364,0.8921288301768517,0.8915776986951364,0.89177241682052,80.91600012779236,0.008643865585327148,5.126847915377905e-07
CTU,ADCAE,0.8900355871886121,0.8897127943468934,0.8900355871886121,0.8898248432926726,83.55658459663391,0.0076580047607421875,4.542114330214821e-07
