Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,CAE,0.8593185104844541,0.8798472053458583,0.8593185104844541,0.8537164274041095,2.333089590072632,0.0041656494140625,1.8825241386761116e-07
USTC,ADCAE,0.8723837077889788,0.8772568268069489,0.8723837077889788,0.8690100661627368,5.585581302642822,0.007985830307006836,3.610067495595514e-07
CTU,CAE,0.8062374006877743,0.8308724730643814,0.8062374006877743,0.8158432143854601,3.773284673690796,0.004982709884643555,2.9542925913930717e-07
CTU,ADCAE,0.8575919335705813,0.8665101738985566,0.8575919335705813,0.8611892383584899,7.652714014053345,0.007614612579345703,4.516377567820702e-07
