Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,CAE,0.857917815650287,0.8571759037747919,0.857917815650287,0.8575119233012167,12.028313398361206,0.012030601501464844,5.438543240117917e-07
USTC,ADCAE,0.9036209936259663,0.9037014302311926,0.9036209936259663,0.9036487696478868,124.84002089500427,0.010541439056396484,4.7653537617632496e-07
CTU,CAE,0.8899169632265718,0.8913360887322502,0.8899169632265718,0.8905386493358299,83.88900351524353,0.007548093795776367,4.476923959535212e-07
CTU,ADCAE,0.8900355871886121,0.8897127943468934,0.8900355871886121,0.8898248432926726,85.88546371459961,0.00746464729309082,4.427430185700368e-07
