Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,ADCAE,0.8943989873875503,0.8940071857431833,0.8943989873875503,0.894175228650743,11.82030439376831,0.010630607604980469,4.805663218200112e-07
CTU,CAE,0.8915776986951364,0.8921288301768517,0.8915776986951364,0.89177241682052,86.96664261817932,0.009216785430908203,5.466658025449705e-07
CTU,ADCAE,0.8900355871886121,0.8897127943468934,0.8900355871886121,0.8898248432926726,85.23537850379944,0.008281707763671875,4.912044936934683e-07
