Dataset,Feature_Type,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,Avg_Prediction_Time
USTC,CAE,0.8653315853713666,0.8653569572077737,0.8653315853713666,0.8653086504213438,122.56415438652039,0.011631965637207031,5.258336258400177e-07
USTC,ADCAE,0.8958003706884861,0.8954937174461634,0.8958003706884861,0.8956175116699214,11.824104070663452,0.01165771484375,5.269976422291036e-07
CTU,CAE,0.8899169632265718,0.8913360887322502,0.8899169632265718,0.8905386493358299,80.80029916763306,0.008789777755737305,5.213391314197689e-07
CTU,ADCAE,0.8900355871886121,0.8897127943468934,0.8900355871886121,0.8898248432926726,84.51154732704163,0.008956670761108398,5.312378861867377e-07
